Semestre,Campus | Prog.,Programa-Relacionado,Cohorte,Código-Gr,Nombre Materia,Resumen horarios,Resumen de fechas
2026-2,Andes,Lengua Castellana y Literatura,"2024-1 , 2025-1",2059005-25,Teorías curriculares y contextos educativos,V14-19 - S7-12 - D14-19,"📅Agosto: vie 14 ago ▶️  🔸 sáb 15 ago ▶️  🔸 vie 28 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 23 ago ▶️ ATM 🔸 dom 30 ago ▶️ ATM 🔸  

📅Septiembre: vie 11 sept ▶️  🔸 sáb 12 sept ▶️  🔸 vie 25 sept ▶️  🔸 sáb 26 sept ▶️  🔸 dom 06 sept ▶️ ATM 🔸 dom 13 sept ▶️ ATM 🔸  

📅Octubre: vie 09 oct ▶️  🔸 sáb 10 oct ▶️  🔸  

"
2026-2,Andes,Lengua Castellana y Literatura,"2024-1 , 2025-1",2094403-25,Dramaturgia y teatro,S14-19 - D7-12 - V7-12,"📅Septiembre: sáb 12 sept ▶️  🔸 dom 13 sept ▶️  🔸 sáb 19 sept ▶️  🔸 dom 20 sept ▶️  🔸 sáb 26 sept ▶️  🔸 dom 27 sept ▶️  🔸 vie 18 sept ▶️ ATM 🔸 vie 25 sept ▶️ ATM 🔸  

📅Octubre: sáb 10 oct ▶️  🔸 dom 11 oct ▶️  🔸 sáb 17 oct ▶️  🔸 dom 18 oct ▶️  🔸 vie 02 oct ▶️ ATM 🔸 vie 09 oct ▶️ ATM 🔸  

"
2026-2,Andes,Lengua Castellana y Literatura,2024-1,2094601-25,Práctica Pedagógica VI,S7-12 - V14-19 - D14-19,"📅Agosto: sáb 08 ago ▶️  🔸 sáb 22 ago ▶️  🔸 dom 09 ago ▶️ ATM 🔸 dom 16 ago ▶️ ATM 🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 sáb 19 sept ▶️  🔸  

📅Octubre: sáb 03 oct ▶️  🔸 sáb 17 oct ▶️  🔸 sáb 24 oct ▶️  🔸 sáb 31 oct ▶️  🔸  

📅Noviembre: sáb 07 nov ▶️  🔸 sáb 14 nov ▶️  🔸 sáb 21 nov ▶️  🔸 vie 27 nov ▶️  🔸 sáb 28 nov ▶️  🔸  

📅Diciembre: sáb 05 dic ▶️  🔸 "
2026-2,Andes,Especial,2024-1,2018064-25,Práctica pedagógica VI,S7-12 -  - D14-19,"📅Agosto: sáb 15 ago ▶️  🔸 sáb 22 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 09 ago ▶️ AMT 🔸 dom 16 ago ▶️ AMT 🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 sáb 12 sept ▶️  🔸 sáb 19 sept ▶️  🔸 sáb 26 sept ▶️  🔸  

📅Octubre: sáb 03 oct ▶️  🔸 sáb 10 oct ▶️  🔸 sáb 17 oct ▶️  🔸 sáb 24 oct ▶️  🔸 sáb 31 oct ▶️  🔸 dom 18 oct ▶️ AMT 🔸  

📅Noviembre: sáb 07 nov ▶️  🔸  

"
2026-2,Andes,Especial,2024-1,2018060-25,"Modelos de evaluación, atención y asesoramiento en educación especial",V14-19 - S7-12 - D14-19,"📅Octubre: vie 23 oct ▶️  🔸 vie 30 oct ▶️  🔸 dom 25 oct ▶️ ATM 🔸  

📅Noviembre: vie 06 nov ▶️  🔸 vie 13 nov ▶️  🔸 sáb 14 nov ▶️  🔸 vie 20 nov ▶️  🔸 sáb 21 nov ▶️  🔸 vie 27 nov ▶️  🔸 sáb 28 nov ▶️  🔸 dom 01 nov ▶️ ATM 🔸 dom 08 nov ▶️ ATM 🔸 dom 15 nov ▶️ ATM 🔸  

📅Diciembre: vie 04 dic ▶️  🔸 "
2026-2,Andes,Especial,2024-1,2018061-25,Educación y discapacidades sensoriales: visual,S14-19 -  - V7-12,"📅Septiembre: sáb 12 sept ▶️  🔸 sáb 19 sept ▶️  🔸 sáb 26 sept ▶️  🔸 vie 18 sept ▶️ ATM 🔸 vie 25 sept ▶️ ATM 🔸  

📅Octubre: sáb 03 oct ▶️  🔸 sáb 10 oct ▶️  🔸 sáb 17 oct ▶️  🔸 sáb 24 oct ▶️  🔸 sáb 31 oct ▶️  🔸 vie 02 oct ▶️ ATM 🔸 vie 09 oct ▶️ ATM 🔸  

📅Noviembre: sáb 07 nov ▶️  🔸 sáb 14 nov ▶️  🔸  

"
2026-2,Andes,Especial,2024-1,2059008-26,"Cognición, cultura y aprendizaje",S14-19 - D7-12 - V7-12,"📅Agosto: sáb 08 ago ▶️  🔸 dom 09 ago ▶️  🔸 sáb 15 ago ▶️  🔸 dom 16 ago ▶️  🔸 sáb 22 ago ▶️  🔸 dom 23 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 30 ago ▶️  🔸 vie 14 ago ▶️ ATM 🔸 vie 21 ago ▶️ ATM 🔸 vie 28 ago ▶️ ATM 🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 dom 06 sept ▶️  🔸 vie 04 sept ▶️ ATM 🔸  

"
2026-2,Andes,Especial,2024-1,2018062-25,Educación y discapacidad motora y dificultades de movilidad,V14-19 -  - D14-19,"📅Agosto: vie 14 ago ▶️  🔸 vie 21 ago ▶️  🔸 vie 28 ago ▶️  🔸 dom 23 ago ▶️ ATM 🔸 dom 30 ago ▶️ ATM 🔸  

📅Septiembre: vie 04 sept ▶️  🔸 vie 11 sept ▶️  🔸 vie 18 sept ▶️  🔸 vie 25 sept ▶️  🔸 dom 06 sept ▶️ ATM 🔸 dom 13 sept ▶️ ATM 🔸  

📅Octubre: vie 02 oct ▶️  🔸 vie 09 oct ▶️  🔸 vie 16 oct ▶️  🔸  

"
2026-2,Andes,Especial,2023-1,2022011-26,Educación rural,J10-18 -  - J10-14,"📅Agosto: jue 06 ago ▶️  🔸 jue 13 ago ▶️ AMT 🔸 jue 20 ago ▶️  🔸 jue 27 ago ▶️  🔸  

📅Septiembre: jue 03 sept ▶️ AMT 🔸 jue 10 sept ▶️  🔸 jue 17 sept ▶️  🔸 jue 24 sept ▶️ AMT 🔸  

📅Octubre: jue 01 oct ▶️  🔸 jue 08 oct ▶️ AMT 🔸 jue 15 oct ▶️  🔸  

"
2026-2,Andes,Lengua Castellana y Literatura,2023-1,2094801-26,Práctica Pedagógica VIII,V14-19 - S7-12,"📅Agosto: vie 14 ago ▶️  🔸 sáb 15 ago ▶️  🔸  

📅Septiembre: vie 11 sept ▶️  🔸 sáb 12 sept ▶️  🔸 vie 25 sept ▶️  🔸 sáb 26 sept ▶️  🔸  

📅Octubre: vie 16 oct ▶️  🔸 sáb 17 oct ▶️  🔸 vie 30 oct ▶️  🔸 sáb 31 oct ▶️  🔸  

📅Noviembre: vie 13 nov ▶️  🔸 sáb 14 nov ▶️  🔸 vie 20 nov ▶️  🔸 sáb 21 nov ▶️  🔸  

"
2026-2,Andes,Lengua Castellana y Literatura,2023-1,2022011-25,Educación rural,S14-19 - D7-12 - V7-12,"📅Octubre: sáb 17 oct ▶️  🔸 dom 18 oct ▶️  🔸 sáb 31 oct ▶️  🔸 vie 30 oct ▶️ AMT 🔸  

📅Noviembre: dom 01 nov ▶️  🔸 sáb 14 nov ▶️  🔸 dom 15 nov ▶️  🔸 sáb 21 nov ▶️  🔸 dom 22 nov ▶️  🔸 sáb 28 nov ▶️  🔸 dom 29 nov ▶️  🔸 vie 13 nov ▶️ AMT 🔸 vie 20 nov ▶️ AMT 🔸 vie 27 nov ▶️ AMT 🔸  

"
2026-2,Andes,Lengua Castellana y Literatura,2023-1,2094803-25,Proyecto de semiótica de la cultura,S14-19 - D7-12 - V7-12,"📅Agosto: sáb 08 ago ▶️  🔸 dom 09 ago ▶️  🔸 sáb 15 ago ▶️  🔸 dom 16 ago ▶️  🔸 sáb 22 ago ▶️  🔸 dom 23 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 30 ago ▶️  🔸 vie 14 ago ▶️ ATM 🔸 vie 21 ago ▶️ ATM 🔸 vie 28 ago ▶️ ATM 🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 dom 06 sept ▶️  🔸  

"
2026-2,Andes,Especial,2023-1,2059002-26,Sujetos en las Relaciones Pedagógicas,L10-18 -  - L10-14,"📅Agosto: lun 03 ago ▶️  🔸 lun 10 ago ▶️  🔸 lun 24 ago ▶️  🔸 lun 31 ago ▶️ AMT 🔸  

📅Septiembre: lun 07 sept ▶️  🔸 lun 14 sept ▶️  🔸 lun 21 sept ▶️ AMT 🔸 lun 28 sept ▶️  🔸  

📅Octubre: lun 05 oct ▶️ ATM 🔸 lun 19 oct ▶️  🔸 lun 26 oct ▶️ ATM 🔸  

"
2026-2,Andes,Especial,2023-1,2018080-25,"Diseño, gestión y evaluación de planes, programas y proyectos en educación especial",W8-12,"📅Agosto: mié 05 ago ▶️  🔸 mié 12 ago ▶️  🔸 mié 19 ago ▶️  🔸 mié 26 ago ▶️  🔸  

📅Septiembre: mié 02 sept ▶️ AMT 🔸 mié 09 sept ▶️  🔸 mié 16 sept ▶️  🔸 mié 23 sept ▶️ AMT 🔸 mié 30 sept ▶️  🔸  

📅Octubre: mié 07 oct ▶️ AMT 🔸 mié 14 oct ▶️  🔸 mié 21 oct ▶️  🔸 mié 28 oct ▶️ ATM 🔸  

📅Noviembre: mié 04 nov ▶️  🔸  

"
2026-2,Andes,Especial,2023-1,2018084-25,Práctica pedagógica VIII,M10-18 -  - M10-14,"📅Agosto: mar 04 ago ▶️  🔸 mar 18 ago ▶️  🔸  

📅Septiembre: mar 01 sept ▶️  🔸 mar 15 sept ▶️  🔸 mar 29 sept ▶️  🔸 mar 22 sept ▶️ ATM 🔸  

📅Octubre: mar 13 oct ▶️  🔸 mar 27 oct ▶️  🔸  

📅Noviembre: mar 10 nov ▶️  🔸 mar 17 nov ▶️ ATM 🔸  

"
2026-2,Andes,Lengua Castellana y Literatura,2023-1,2094802-25,Seminario de investigación literaria,S14-19 - D7-12 - V7-12,"📅Septiembre: sáb 12 sept ▶️  🔸 dom 13 sept ▶️  🔸 sáb 26 sept ▶️  🔸 dom 27 sept ▶️  🔸 vie 25 sept ▶️ AMT 🔸  

📅Octubre: sáb 10 oct ▶️  🔸 dom 11 oct ▶️  🔸 sáb 24 oct ▶️  🔸 dom 25 oct ▶️  🔸 vie 09 oct ▶️ AMT 🔸  

📅Noviembre: sáb 07 nov ▶️  🔸 dom 08 nov ▶️  🔸 vie 06 nov ▶️ AMT 🔸  

"
2026-2,Andes,Lengua Castellana y Literatura,2023-1,2094801-25,Práctica Pedagógica VIII,V14-19 - S7-12,"📅Agosto: vie 14 ago ▶️  🔸 sáb 15 ago ▶️  🔸 vie 28 ago ▶️  🔸 sáb 29 ago ▶️  🔸  

📅Septiembre: vie 11 sept ▶️  🔸 sáb 12 sept ▶️  🔸 vie 25 sept ▶️  🔸 sáb 26 sept ▶️  🔸  

📅Octubre: vie 16 oct ▶️  🔸 sáb 17 oct ▶️  🔸 vie 30 oct ▶️  🔸 sáb 31 oct ▶️  🔸  

📅Noviembre: vie 13 nov ▶️  🔸 sáb 14 nov ▶️  🔸  

"
2026-2,Andes,Especial,2023-1,2018084-26,Práctica pedagógica VIII,L10-18 - M10-14,"📅Agosto: lun 10 ago ▶️  🔸 lun 24 ago ▶️  🔸 mar 25 ago ▶️ AMT 🔸  

📅Septiembre: lun 07 sept ▶️  🔸 lun 21 sept ▶️  🔸  

📅Octubre: lun 05 oct ▶️  🔸 lun 19 oct ▶️  🔸  

📅Noviembre: lun 09 nov ▶️  🔸 lun 23 nov ▶️  🔸 mar 03 nov ▶️ AMT 🔸  

"
2026-2,Apartado,Especial,2026-1,2018024-80,Práctica pedagógica II,S7-12 -  - D14-19,"📅Agosto: sáb 08 ago ▶️  🔸 sáb 15 ago ▶️  🔸 sáb 22 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 09 ago ▶️ ATM 🔸 dom 16 ago ▶️ ATM 🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 sáb 12 sept ▶️  🔸 sáb 19 sept ▶️  🔸 sáb 26 sept ▶️  🔸 dom 13 sept ▶️ ATM 🔸  

📅Octubre: sáb 03 oct ▶️  🔸 sáb 10 oct ▶️  🔸  

"
2026-2,Apartado,Lengua Castellana y Literatura,2026-1,2094202-80,Teorías Literarias I,S14-19 - D7-12 - V14-19,"📅Octubre: sáb 17 oct ▶️  🔸 dom 18 oct ▶️  🔸 sáb 24 oct ▶️  🔸 dom 25 oct ▶️  🔸 sáb 31 oct ▶️  🔸 vie 23 oct ▶️ AMT 🔸 vie 30 oct ▶️ AMT 🔸  

📅Noviembre: dom 01 nov ▶️  🔸 sáb 07 nov ▶️  🔸 dom 08 nov ▶️  🔸 sáb 14 nov ▶️  🔸 dom 15 nov ▶️  🔸 vie 06 nov ▶️ AMT 🔸 vie 13 nov ▶️ AMT 🔸  

"
2026-2,Apartado,Lengua Castellana y Literatura,2026-1,2094201-80,Práctica pedagógica II,V14-19 - S7-12 - D14-19,"📅Octubre: vie 23 oct ▶️  🔸 sáb 24 oct ▶️  🔸 vie 30 oct ▶️  🔸 sáb 31 oct ▶️  🔸 dom 25 oct ▶️ ATM 🔸  

📅Noviembre: vie 06 nov ▶️  🔸 sáb 07 nov ▶️  🔸 vie 13 nov ▶️  🔸 sáb 14 nov ▶️  🔸 vie 20 nov ▶️  🔸 sáb 21 nov ▶️  🔸 dom 01 nov ▶️ ATM 🔸 dom 08 nov ▶️ ATM 🔸  

"
2026-2,Apartado,Lengua Castellana y Literatura,2026-1,2094304-80,Morfología,V14-19 - S7-12 - D14-19,"📅Septiembre: vie 18 sept ▶️  🔸 sáb 19 sept ▶️  🔸 vie 25 sept ▶️  🔸 sáb 26 sept ▶️  🔸 dom 20 sept ▶️ AMT 🔸 dom 27 sept ▶️ AMT 🔸  

📅Octubre: vie 02 oct ▶️  🔸 sáb 03 oct ▶️  🔸 vie 09 oct ▶️  🔸 sáb 10 oct ▶️  🔸 vie 16 oct ▶️  🔸 sáb 17 oct ▶️  🔸 dom 04 oct ▶️ AMT 🔸 dom 11 oct ▶️ AMT 🔸  

"
2026-2,Apartado,Lengua Castellana y Literatura,2026-1,2094203-80,Fonética y fonología,S14-19 - D7-12 - V7-12,"📅Septiembre: sáb 12 sept ▶️  🔸 dom 13 sept ▶️  🔸 sáb 19 sept ▶️  🔸 dom 20 sept ▶️  🔸 sáb 26 sept ▶️  🔸 dom 27 sept ▶️  🔸 vie 18 sept ▶️ ATM 🔸 vie 25 sept ▶️ ATM 🔸  

📅Octubre: sáb 03 oct ▶️  🔸 dom 04 oct ▶️  🔸 sáb 10 oct ▶️  🔸 dom 11 oct ▶️  🔸 vie 02 oct ▶️ ATM 🔸 vie 09 oct ▶️ ATM 🔸  

"
2026-2,Apartado,Lengua Castellana y Literatura,2026-1,2059001-80,Educación Popular,V14-19 - S7-12 - D14-19,"📅Agosto: vie 14 ago ▶️  🔸 sáb 15 ago ▶️  🔸 vie 21 ago ▶️  🔸 sáb 22 ago ▶️  🔸 vie 28 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 23 ago ▶️ ATM 🔸 dom 30 ago ▶️ ATM 🔸  

📅Septiembre: vie 04 sept ▶️  🔸 sáb 05 sept ▶️  🔸 vie 11 sept ▶️  🔸 sáb 12 sept ▶️  🔸 dom 06 sept ▶️ ATM 🔸 dom 13 sept ▶️ ATM 🔸  

"
2026-2,Apartado,Lengua Castellana y Literatura,2026-1,2059008-80,"Cognición, cultura y aprendizaje",S14-19 - D7-12 - V7-12,"📅Agosto: sáb 08 ago ▶️  🔸 dom 09 ago ▶️  🔸 sáb 15 ago ▶️  🔸 dom 16 ago ▶️  🔸 sáb 22 ago ▶️  🔸 dom 23 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 30 ago ▶️  🔸 vie 14 ago ▶️ AMT 🔸 vie 21 ago ▶️ AMT 🔸 vie 28 ago ▶️ AMT 🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 dom 06 sept ▶️  🔸 vie 04 sept ▶️ AMT 🔸  

"
2026-2,Apartado,Especial,2026-1,2018024-81,Práctica pedagógica II,S7-12 -  - D14-19,"📅Agosto: sáb 08 ago ▶️  🔸 sáb 15 ago ▶️  🔸 sáb 22 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 09 ago ▶️ ATM 🔸 dom 16 ago ▶️ ATM 🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 sáb 12 sept ▶️  🔸 sáb 19 sept ▶️  🔸 sáb 26 sept ▶️  🔸 dom 13 sept ▶️ ATM 🔸  

📅Octubre: sáb 03 oct ▶️  🔸 sáb 10 oct ▶️  🔸  

"
2026-2,Apartado,Especial,2026-1,2018021-80,Lengua castellana y su didáctica,S14-19 -  - D14-19,"📅Septiembre: sáb 12 sept ▶️  🔸 sáb 19 sept ▶️  🔸 sáb 26 sept ▶️  🔸 dom 20 sept ▶️ ATM 🔸 dom 27 sept ▶️ ATM 🔸  

📅Octubre: sáb 03 oct ▶️  🔸 sáb 10 oct ▶️  🔸 sáb 17 oct ▶️  🔸 sáb 24 oct ▶️  🔸 sáb 31 oct ▶️  🔸 dom 04 oct ▶️ ATM 🔸  

📅Noviembre: sáb 07 nov ▶️  🔸 sáb 14 nov ▶️  🔸 sáb 21 nov ▶️  🔸  

"
2026-2,Apartado,Especial,2026-1,2018020-80,Matemáticas y su didáctica,V14-19 -  - D14-19,"📅Agosto: vie 14 ago ▶️  🔸 vie 21 ago ▶️  🔸 vie 28 ago ▶️  🔸 dom 23 ago ▶️ ATM 🔸 dom 30 ago ▶️ ATM 🔸  

📅Septiembre: vie 04 sept ▶️  🔸 vie 11 sept ▶️  🔸 vie 18 sept ▶️  🔸 vie 25 sept ▶️  🔸 dom 06 sept ▶️ ATM 🔸  

📅Octubre: vie 02 oct ▶️  🔸 vie 09 oct ▶️  🔸 vie 16 oct ▶️  🔸 vie 23 oct ▶️  🔸  

"
2026-2,Apartado,Lengua Castellana y Literatura,2026-1,2094201-81,Práctica pedagógica II,V14-19 - S7-12 - D14-19,"📅Octubre: vie 23 oct ▶️  🔸 sáb 24 oct ▶️  🔸 vie 30 oct ▶️  🔸 sáb 31 oct ▶️  🔸 dom 25 oct ▶️ ATM 🔸  

📅Noviembre: vie 06 nov ▶️  🔸 sáb 07 nov ▶️  🔸 vie 13 nov ▶️  🔸 sáb 14 nov ▶️  🔸 vie 20 nov ▶️  🔸 sáb 21 nov ▶️  🔸 dom 01 nov ▶️ ATM 🔸 dom 08 nov ▶️ ATM 🔸  

"
2026-2,Apartado,Especial,2026-1,2018023-80,Políticas educativas y sociales en discapacidad y capacidades y talentos excepcionales,D7-12 -  - V7-12,"📅Septiembre: dom 13 sept ▶️  🔸 dom 20 sept ▶️  🔸 dom 27 sept ▶️  🔸 vie 18 sept ▶️ ATM 🔸  

📅Octubre: dom 04 oct ▶️  🔸 dom 11 oct ▶️  🔸 dom 18 oct ▶️  🔸 dom 25 oct ▶️  🔸 vie 02 oct ▶️ ATM 🔸 vie 16 oct ▶️ ATM 🔸 vie 23 oct ▶️ ATM 🔸  

"
